"date","time","period","s1a","s1x","s1i","s1s","s2a","s2x","s2i","s2s","s3a","s3x","s3i","s3s","d1a","d1s","d2a","d2s","h1a","h1x","h1i","t1a","t1x","t1i","b1a","b1x","b1i","p1a","p1x","p1i","p1s","tia","tix","tii","vxa","vxx","vxi","bla","blx","bli","bra","brx","bri"
2013-03-11,00:10:00,600, 7.65221, 8.34530, 6.50930, 0.35343, 7.54564, 8.29840, 5.95750, 0.36261, 6.53013, 7.51633, 5.36044, 0.45411,10,3,3,7,107,108,106, 7.05, 7.15, 6.85,999,999,999, 5.23482, 6.46360, 3.66675, 0.59605,47,47,47,125,125,125,83,83,83,83,83,83
2013-03-11,00:20:00,600, 7.59254, 8.34530, 6.18800, 0.36720, 7.45843, 8.16070, 6.09520, 0.36720, 6.25949, 7.33285, 4.85587, 0.41742,11,3,4,7,107,108,107, 6.95, 7.15, 6.85,999,999,999, 5.17063, 6.28020, 3.75845, 0.47226,47,47,47,125,125,125,83,83,83,83,83,83
2013-03-11,00:30:00,600, 7.87253, 8.89610, 6.55520, 0.37638, 7.75219, 8.84920, 6.69190, 0.36720, 6.67691, 7.65394, 5.49805, 0.37613,14,3,6,7,107,108,107, 6.85, 6.95, 6.75,999,999,999, 5.22565, 6.73870, 3.57505, 0.53645,47,47,47,125,125,125,83,83,83,83,83,83
2013-03-11,00:40:00,600, 7.60631, 8.39120, 6.73880, 0.30753, 7.48597, 8.39020, 6.69190, 0.30753, 6.50260, 7.47046, 5.68153, 0.31192,21,3,12,5,107,107,107, 6.75, 6.85, 6.65,999,999,999, 5.31277, 6.41775, 3.94185, 0.47684,47,47,47,125,125,125,83,83,83,83,83,83
2013-03-11,00:50:00,600, 7.12895, 8.25350, 6.09620, 0.37179, 7.00402, 8.11480, 5.81980, 0.38097, 5.85584, 7.19524, 4.62652, 0.43118,22,3,13,5,107,108,107, 6.85, 6.95, 6.85,999,999,998, 4.56083, 6.09680, 3.25410, 0.49518,47,47,47,125,125,125,83,83,83,83,83,83
2013-03-11,01:00:00,600, 7.25747, 7.65680, 6.46340, 0.24327, 7.14631, 7.60990, 6.18700, 0.25704, 5.74575, 6.41545, 4.21369, 0.31650,31,3,15,4,108,108,106, 7.45, 8.05, 6.95,999,999,998, 4.28114, 5.08810, 3.34580, 0.32095,47,47,47,125,125,125,83,83,83,83,83,83
2013-03-11,01:10:00,600, 6.73421, 8.02400, 6.05030, 0.38556, 6.64141, 7.93120, 5.91160, 0.37179, 5.68612, 6.82828, 4.58065, 0.42659,24,6,13,5,106,107,106, 7.05, 7.35, 6.65,999,999,998, 4.48747, 5.86755, 3.25410, 0.49518,47,47,47,125,125,125,83,83,83,83,83,83
2013-03-11,01:20:00,600, 6.38537, 7.70270, 5.31590, 0.45441, 6.29257, 7.60990, 5.08540, 0.47277, 5.42007, 6.92002, 4.07608, 0.60548,19,3,9,5,107,107,106, 6.55, 6.75, 6.45,999,999,998, 4.41869, 6.09680, 3.20825, 0.55479,47,47,47,125,125,125,83,83,83,83,83,83
2013-03-11,01:30:00,600, 6.33488, 7.38140, 5.04050, 0.44982, 6.22372, 7.15090, 4.94770, 0.44982, 5.42007, 6.55306, 4.21369, 0.37155,26,4,14,4,107,108,107, 6.55, 6.65, 6.45,998,999,998, 4.56541, 5.36320, 3.43750, 0.27510,47,47,47,125,125,125,83,83,83,83,83,83
2013-03-11,01:40:00,600, 6.02735, 6.69290, 5.36180, 0.25704, 5.94373, 6.60010, 5.22310, 0.24786, 5.23200, 6.23197, 4.35130, 0.28439,29,3,16,4,107,108,107, 6.55, 6.65, 6.45,998,999,998, 4.17569, 4.90470, 3.29995, 0.33012,47,47,47,125,125,125,83,83,83,83,83,83
